"species","diet","LD1","LD2"
"Aelurodon_asthenostylus",1,-2.95785963528006,2.39202628719444
"Aelurodon_ferox",1,-3.88172846358814,2.72849480767919
"Aelurodon_mcgrewi",1,-3.35019261291395,2.80393294537424
"Aelurodon_montanensis",1,-3.76374729354525,3.14016676107105
"Aelurodon_stirtoni",1,-4.70666432798751,4.16166251940009
"Aelurodon_taxoides",1,-3.83234306855657,2.69838352106376
"Archaeocyon_leptodus",2,-0.540017098145546,-0.189389229763328
"Archaeocyon_pavidus",2,0.321680480186129,-0.441251487478897
"Borophagus_diversidens",1,-2.81077446317267,3.40746142771082
"Borophagus_dudleyi",1,-3.37007515998542,3.80345117749101
"Borophagus_hilli",1,-2.58527307599466,3.61780577275091
"Borophagus_littoralis",2,-1.29707979904971,1.64043189497069
"Borophagus_orc",1,-2.30691417495469,2.53616821974399
"Borophagus_parvus",1,-2.21248772400657,2.68322563331923
"Borophagus_pugnator",1,-1.78251248289061,1.99076770033713
"Borophagus_secundus",1,-2.4854750036524,3.31608836522123
"Canis_armbrusteri",1,-1.97583647411887,1.37825534962721
"Canis_cedazoensis",2,-1.30438849006287,-0.280177770966776
"Canis_dirus",1,-3.64441299188592,1.52288539070238
"Canis_edwardii",2,-1.81189998380178,0.147210411206771
"Canis_ferox",2,-2.47640894875074,-0.218782767570724
"Canis_latrans",2,-2.14166554308836,0.360943351980639
"Canis_lepophagus",2,-2.12942272269884,0.667184561536123
"Canis_lupus",1,-2.71284952258757,1.10466121981725
"Canis_rufus",2,-2.0407935733239,0.396383980075124
"Canis_thooides",2,-1.42215807539521,-0.130694443640538
"Carpocyon_compressus",2,-0.772375460602999,0.96478452374289
"Carpocyon_limosus",2,-0.92213387450497,0.885592592161436
"Carpocyon_robustus",1,-1.77810122855036,1.58451966039589
"Carpocyon_webbi",2,-1.44432532718192,1.34448597802798
"Cerdocyon_avius",2,-0.161296471110401,-1.06972178353186
"Cerdocyon_texanus",2,-0.0855910608349633,-0.762486951154595
"Chrysocyon_nearcticus",1,-2.36213757596485,0.849074959517322
"Cormocyon_copei",2,0.365409076710083,-0.946643400073727
"Cormocyon_haydeni",2,-0.259415897701313,-0.289478416905245
"Cuon_alpinus",1,-3.90155518474903,1.77858638524773
"Cynarctoides_acridens",2,-0.0263020753628792,-0.0132593566693351
"Cynarctoides_emryi",3,2.91498994720217,-2.98732071002921
"Cynarctoides_gawnae",2,-0.0124585815605991,-0.636663346191345
"Cynarctoides_harlowi",2,0.847640162182487,-1.24676952148709
"Cynarctoides_lemur",2,0.686931821943254,-1.74354802461524
"Cynarctoides_luskensis",3,0.959632721366914,-0.402766978132387
"Cynarctoides_whistleri",2,0.635052892002011,-0.992413437679639
"Cynarctus_crucidens",3,3.73463574663551,-1.50380862041684
"Cynarctus_galushai",2,-0.322539310285768,0.444259142200591
"Cynarctus_marylandica",3,0.986703292940875,-0.10228317456497
"Cynarctus_saxatilis",3,2.86549807611816,-1.54377163218147
"Cynarctus_voorhiesi",3,3.12639957456166,-0.196783514129427
"Cynarctus_wangi",3,1.40137896174004,-0.27537349518638
"Cynodesmus_thooides",2,-1.94545643785742,1.05884559109969
"Desmocyon_matthewi",2,-0.671749113103127,0.247077395719024
"Desmocyon_thomsoni",2,-0.635283596281821,0.581313771311409
"Ectopocynus_antiquus",2,-1.90020260854962,-0.00742045515448592
"Ectopocynus_simplicidens",1,-4.19939747704187,3.33245351338433
"Enhydrocyon_basilatus",1,-4.63768843793822,3.86169636823882
"Enhydrocyon_crassidens",1,-4.91256444158758,3.1455347386452
"Enhydrocyon_pahinsintewakpa",1,-3.79398302009642,2.25706355474241
"Enhydrocyon_stenocephalus",1,-3.26086959284902,1.99436914786354
"Epicyon_aelurodontoides",1,-3.42174004983923,3.30963970439747
"Epicyon_haydeni",1,-3.44944982233622,2.60896293599944
"Epicyon_saevus",1,-2.32367033201163,2.38203313651759
"Eucyon_davisi",2,-1.04542617390378,-0.862146166774288
"Eucyon_skinneri",2,0.121738081608839,-1.63490476155839
"Euoplocyon_brachygnathus",1,-3.01495167139456,0.950389593766885
"Euoplocyon_spissidens",2,-0.0318120882573302,-0.642958078572601
"Hesperocyon_coloradensis",2,-2.60699247468139,-0.436114443737884
"Hesperocyon_gregarius",2,-1.18341706559991,-0.391569611581563
"Leptocyon_douglassi",2,-1.57358644486797,0.206850673954641
"Leptocyon_gregorii",2,-1.90982591323509,0.28716756357835
"Leptocyon_leidyi",2,-0.859807086780323,-1.00951429991493
"Leptocyon_matthewi",2,-1.01223159389654,-0.494615582326291
"Leptocyon_mollis",2,-0.486160540642622,-0.800029965834574
"Leptocyon_tejonensis",2,0.209471545575711,-1.54708053077268
"Leptocyon_vafer",2,-1.512845575685,-0.382087348628165
"Leptocyon_vulpinus",2,-1.48130758331197,0.129130007348862
"Mesocyon_brachyops",1,-2.23401223856509,1.12853404225501
"Mesocyon_coryphaeus",1,-2.40988154819066,1.9857589737878
"Mesocyon_temnodon",2,-1.6519581701102,-0.419125560184691
"Metalopex_bakeri",2,2.56998971486533,-4.08521413491433
"Metalopex_macconnelli",2,-0.0659989194958513,-1.5482837998543
"Metalopex_merriami",2,-0.549940858966224,-0.8254727888629
"Metatomarctus_canavus",2,-0.772109025111858,0.720979171380028
"Microtomarctus_conferta",2,-0.901192359321789,1.19910173447245
"Osbornodon_brachypus",2,-2.4933783983003,0.377531777735816
"Osbornodon_fricki",1,-3.2906783051472,1.81121831371782
"Osbornodon_iamonensis",2,-1.34431823248017,0.544064172102064
"Osbornodon_renjiei",2,-0.292015636419895,-1.61716170802922
"Osbornodon_scitulus",2,-1.43921189473537,-0.0753768356723218
"Osbornodon_sesnoni",2,-0.0203367306694029,-1.44956942071982
"Otarocyon_cooki",2,0.228643582775012,-0.649017895406248
"Otarocyon_macdonaldi",2,-0.150652689995978,-0.308921207327252
"Oxetocyon_cuspidatus",2,0.804473648321982,-1.29916300402079
"Paracynarctus_kelloggi",2,0.442538986942133,0.2473879951759
"Paracynarctus_sinclairi",2,-1.17146557373369,1.30597523043295
"Paraenhydrocyon_josephi",2,0.168888641235164,0.0518113460180825
"Paraenhydrocyon_robustus",2,-1.84402535623996,0.39312813064579
"Paraenhydrocyon_wallovianus",1,-3.05345291631962,0.564170010248281
"Paratomarctus_euthos",2,-1.43043753378106,1.15539280177221
"Paratomarctus_temerarius",2,-0.787052490980443,0.686883863764698
"Philotrox_condoni",1,-3.28386929118966,1.84024840388897
"Phlaocyon_achoros",2,-0.185700665845368,0.00814329968768648
"Phlaocyon_annectens",2,-0.0731198518250604,-0.98844842094498
"Phlaocyon_latidens",2,1.27350882800734,-1.73716703916995
"Phlaocyon_leucosteus",3,0.846250507247988,1.10782123644726
"Phlaocyon_mariae",2,-0.83280541273616,0.834740636208527
"Phlaocyon_marslandensis",3,1.04763540696984,-0.27310863627922
"Phlaocyon_minor",3,1.29213700265651,-0.811430134441665
"Phlaocyon_multicuspus",2,-0.157167640702523,-0.0147653428252194
"Phlaocyon_yatkolai",2,0.640435845105279,-0.604559330504112
"Protepicyon_raki",1,-2.52247989448408,2.65544008811784
"Protocyon_troglodytes",1,-2.37883057312018,0.867718691048668
"Protomarctus_optatus",2,-0.810377358870516,0.33471932649365
"Psalidocyon_marianae",2,-0.503657232740086,0.531422112615323
"Rhizocyon_oregonensis",2,-1.2967061172347,-0.182767354882078
"Sunkahetanka_geringensis",1,-1.94305186622871,1.34701654021045
"Tephrocyon_rurestris",1,-2.24872003488256,1.96521291021091
"Tomarctus_brevirostris",1,-2.10904874203103,1.74780007254577
"Tomarctus_hippophaga",2,-0.893978523278185,1.27550720767708
"Urocyon_cinereoargenteus",2,0.130243319026543,-0.778674025332907
"Urocyon_citrinus",2,0.69314888791476,-0.520683707782178
"Urocyon_galushai",2,1.38532389367849,-2.19093574075839
"Urocyon_littoralis",2,0.19401956154019,-0.793294771343244
"Urocyon_minicephalus",3,2.25564006509606,-2.76818350532287
"Urocyon_progressus",2,0.618331127731623,-1.57608485661358
"Urocyon_webbi",2,1.79008796335912,-2.73372210355967
"Vulpes_kernensis",2,-0.755545991414072,-0.732978325364666
"Vulpes_lagopus",2,-2.44260207400017,0.197650546947714
"Vulpes_macrotis",2,-0.554246397760125,-0.898353754771462
"Vulpes_stenognathus",2,-0.613729924472533,-1.00013889970017
"Vulpes_velox",2,-1.41363366403824,-1.07342578907197
"Vulpes_vulpes",2,-1.54524089900527,-0.600876098641935
"Xenocyon_lycaonoides",2,-1.75825803480212,0.492285545563234
"Xenocyon_texanus",1,-2.9262887362365,1.13610073818867
