"species","diet","LD1","log_mass"
"Aelurodon_asthenostylus","1","-2.95785963528006","1.627"
"Aelurodon_ferox","1","-3.88172846358814","1.744"
"Aelurodon_mcgrewi","1","-3.35019261291395","1.69"
"Aelurodon_montanensis","1","-3.76374729354525","1.796"
"Aelurodon_stirtoni","1","-4.70666432798751","1.628"
"Aelurodon_taxoides","1","-3.83234306855657","1.809"
"Aenocyon_dirus","2","-0.540017098145546","1.689"
"Archaeocyon_leptodus","2","0.321680480186129","0.581"
"Archaeocyon_pavidus","1","-2.81077446317267","0.342"
"Borophagus_diversidens","1","-3.37007515998542","1.897"
"Borophagus_dudleyi","1","-2.58527307599466","1.949"
"Borophagus_hilli","2","-1.29707979904971","1.811"
"Borophagus_littoralis","1","-2.30691417495469","1.668"
"Borophagus_orc","1","-2.21248772400657","1.484"
"Borophagus_parvus","1","-1.78251248289061","1.517"
"Borophagus_pugnator","1","-2.4854750036524","1.681"
"Borophagus_secundus","1","-1.97583647411887","1.691"
"Canis_armbrusteri","2","-1.30438849006287","1.57"
"Canis_cedazoensis","1","-3.64441299188592","1.061"
"Canis_edwardii","2","-1.81189998380178","1.349"
"Canis_latrans","2","-2.47640894875074","1.127"
"Canis_lepophagus","2","-2.14166554308836","1.175"
"Canis_lupus","2","-2.12942272269884","1.508"
"Canis_rufus","1","-2.71284952258757","1.361"
"Canis_thooides","2","-2.0407935733239","1.049"
"Carpocyon_compressus","2","-1.42215807539521","1.369"
"Carpocyon_limosus","2","-0.772375460602999","1.274"
"Carpocyon_robustus","2","-0.92213387450497","1.496"
"Carpocyon_webbi","1","-1.77810122855036","1.547"
"Cerdocyon_texanus","2","-1.44432532718192","0.833"
"Chrysocyon_nearcticus","2","-0.161296471110401","1.266"
"Cormocyon_copei","2","-0.0855910608349633","0.725"
"Cormocyon_haydeni","1","-2.36213757596485","0.707"
"Cuon_alpinus","2","0.365409076710083","1.106"
"Cynarctoides_acridens","2","-0.259415897701313","0.472"
"Cynarctoides_emryi","1","-3.90155518474903","0.364"
"Cynarctoides_gawnae","2","-0.0263020753628792","0.376"
"Cynarctoides_harlowi","3","2.91498994720217","0.228"
"Cynarctoides_lemur","2","-0.0124585815605991","0.353"
"Cynarctoides_luskensis","2","0.847640162182487","0.382"
"Cynarctoides_whistleri","2","0.686931821943254","0.228"
"Cynarctus_crucidens","3","0.959632721366914","0.706"
"Cynarctus_galushai","2","0.635052892002011","1.056"
"Cynarctus_marylandica","3","3.73463574663551","1.021"
"Cynarctus_saxatilis","2","-0.322539310285768","1.131"
"Cynarctus_voorhiesi","3","0.986703292940875","0.936"
"Cynarctus_wangi","3","2.86549807611816","1.009"
"Cynodesmus_thooides","3","3.12639957456166","1.162"
"Desmocyon_matthewi","3","1.40137896174004","1.039"
"Desmocyon_thomsoni","2","-1.94545643785742","0.959"
"Ectopocynus_antiquus","2","-0.671749113103127","1.138"
"Ectopocynus_simplicidens","2","-0.635283596281821","1.526"
"Enhydrocyon_basilatus","2","-1.90020260854962","1.628"
"Enhydrocyon_crassidens","1","-4.19939747704187","1.583"
"Enhydrocyon_pahinsintewakpa","1","-4.63768843793822","1.441"
"Enhydrocyon_stenocephalus","1","-4.91256444158758","1.424"
"Epicyon_aelurodontoides","1","-3.79398302009642","1.93"
"Epicyon_haydeni","1","-3.26086959284902","1.988"
"Epicyon_saevus","1","-3.42174004983923","1.749"
"Eucyon_davisi","1","-3.44944982233622","1"
"Eucyon_ferox","1","-2.32367033201163","1.133"
"Eucyon_skinneri","2","-1.04542617390378","0.85"
"Euoplocyon_brachygnathus","2","0.121738081608839","1.235"
"Euoplocyon_spissidens","1","-3.01495167139456","1.143"
"Ferrucyon_avius","2","-0.0318120882573302","0.676"
"Hesperocyon_coloradensis","2","-2.60699247468139","0.782"
"Hesperocyon_gregarius","2","-1.18341706559991","0.622"
"Leptocyon_douglassi","2","-1.57358644486797","0.542"
"Leptocyon_gregorii","2","-1.90982591323509","0.574"
"Leptocyon_leidyi","2","-0.859807086780323","0.549"
"Leptocyon_matthewi","2","-1.01223159389654","0.738"
"Leptocyon_mollis","2","-0.486160540642622","0.601"
"Leptocyon_tejonensis","2","0.209471545575711","0.586"
"Leptocyon_vafer","2","-1.512845575685","0.643"
"Leptocyon_vulpinus","2","-1.48130758331197","0.654"
"Mesocyon_brachyops","1","-2.23401223856509","1.09"
"Mesocyon_coryphaeus","1","-2.40988154819066","1.202"
"Mesocyon_temnodon","2","-1.6519581701102","1.008"
"Metalopex_bakeri","2","2.56998971486533","0.699"
"Metalopex_macconnelli","2","-0.0659989194958513","0.658"
"Metalopex_merriami","2","-0.549940858966224","0.852"
"Metatomarctus_canavus","2","-0.772109025111858","1.221"
"Microtomarctus_conferta","2","-0.901192359321789","1.088"
"Osbornodon_brachypus","2","-2.4933783983003","1.406"
"Osbornodon_fricki","1","-3.2906783051472","1.74"
"Osbornodon_iamonensis","2","-1.34431823248017","1.387"
"Osbornodon_renjiei","2","-0.292015636419895","0.895"
"Osbornodon_scitulus","2","-1.43921189473537","1.282"
"Osbornodon_sesnoni","2","-0.0203367306694029","1.084"
"Otarocyon_cooki","2","0.228643582775012","0.259"
"Otarocyon_macdonaldi","2","-0.150652689995978","0.166"
"Oxetocyon_cuspidatus","2","0.804473648321982","0.377"
"Paracynarctus_kelloggi","2","0.442538986942133","1.039"
"Paracynarctus_sinclairi","2","-1.17146557373369","0.97"
"Paraenhydrocyon_josephi","2","0.168888641235164","1.066"
"Paraenhydrocyon_robustus","2","-1.84402535623996","1.192"
"Paraenhydrocyon_wallovianus","1","-3.05345291631962","1.373"
"Paratomarctus_euthos","2","-1.43043753378106","1.372"
"Paratomarctus_temerarius","2","-0.787052490980443","1.222"
"Philotrox_condoni","1","-3.28386929118966","0.875"
"Phlaocyon_achoros","2","-0.185700665845368","0.434"
"Phlaocyon_annectens","2","-0.0731198518250604","0.58"
"Phlaocyon_latidens","2","1.27350882800734","0.435"
"Phlaocyon_leucosteus","3","0.846250507247988","0.623"
"Phlaocyon_mariae","2","-0.83280541273616","1.419"
"Phlaocyon_marslandensis","3","1.04763540696984","0.761"
"Phlaocyon_minor","3","1.29213700265651","0.574"
"Phlaocyon_multicuspus","2","-0.157167640702523","0.747"
"Phlaocyon_yatkolai","2","0.640435845105279","1.134"
"Protepicyon_raki","1","-2.52247989448408","1.672"
"Protocyon_troglodytes","1","-2.37883057312018","1.344"
"Protomarctus_optatus","2","-0.810377358870516","1.24"
"Psalidocyon_marianae","2","-0.503657232740086","1.083"
"Rhizocyon_oregonensis","2","-1.2967061172347","0.548"
"Sunkahetanka_geringensis","1","-1.94305186622871","1.263"
"Tephrocyon_rurestris","1","-2.24872003488256","1.322"
"Tomarctus_brevirostris","1","-2.10904874203103","1.482"
"Tomarctus_hippophaga","2","-0.893978523278185","1.34"
"Urocyon_cinereoargenteus","2","0.130243319026543","0.584"
"Urocyon_citrinus","2","0.69314888791476","0.537"
"Urocyon_galushai","2","1.38532389367849","0.555"
"Urocyon_littoralis","2","0.19401956154019","0.278"
"Urocyon_minicephalus","3","2.25564006509606","0.481"
"Urocyon_progressus","2","0.618331127731623","0.612"
"Urocyon_webbi","2","1.79008796335912","0.606"
"Vulpes_kernensis","2","-0.755545991414072","0.598"
"Vulpes_lagopus","2","-2.44260207400017","0.687"
"Vulpes_macrotis","2","-0.554246397760125","0.312"
"Vulpes_stenognathus","2","-0.613729924472533","0.857"
"Vulpes_velox","2","-1.41363366403824","0.342"
"Vulpes_vulpes","2","-1.54524089900527","0.726"
"Xenocyon_lycaonoides","2","-1.75825803480212","1.422"
"Xenocyon_texanus","1","-2.9262887362365","1.499"
